"stat","pd_l","pd_shrubs","pd_trees","lpi_l","lpi_shrubs","lpi_trees","CI_t","CI_shrubs","CI_trees"
"GE03",1029.19161676647,873.253493013972,31.187624750499,98.5903193612775,0.249500998003992,98.5903193612775,0.399786514372552,0.999990121122059,0.399796575836758
"GE11",7510.5958613812,498.62877088008,342.807279980055,59.0127150336575,59.0127150336575,21.0795312889554,0.75273414523936,0.784518425986077,0.968522531447866
"GE15",404.58110295033,342.337856342587,31.1216233038715,99.3153242873148,0.236524337109424,99.3153242873148,0.388343554432392,0.999992984843485,0.38835057919871
"GE18",2394.5764398557,1492.72297549446,155.491976614007,88.6801841025003,2.86105236969772,88.6801841025003,0.51061304289996,0.999013159674447,0.51160314094888
"GE22",7126.85173658658,1431.59467197809,155.608116519358,35.1549856840533,35.1549856840533,26.8019419892942,0.869694265352677,0.919620500020945,0.955452833590368
"MK01",2415.13484502885,1610.0898966859,167.717697571448,92.9961089494163,0.89896685898296,92.9961089494163,0.538216818903091,0.999920805609811,0.538356353249109
"MK03",343.235147279081,156.015976035946,31.2031952071892,97.0419370943585,0.0249625561657514,97.0419370943585,0.406904068228605,0.999999892167435,0.407404911283207
"MK04",2922.69013199246,2514.14204902577,31.4267756128221,95.8390949088624,1.06851037083595,95.8390949088624,0.441337680411206,0.999911464880863,0.441426561483268
"MK05",623.51914203766,436.463399426362,62.351914203766,59.2093777278962,0.0498815313630128,59.2093777278962,0.700737853201238,0.999999634827469,0.701816707394775
"MK07",3394.3697060289,2864.9725959143,249.128051818635,86.9706028898854,1.81863477827603,86.9706028898854,0.531013492827113,0.999489392703762,0.531524465295881
"MK08",3216.72698029755,1842.9164991288,134.030290845731,82.9245409462539,3.40436938748157,82.9245409462539,0.63044752249225,0.999226122528588,0.632145123100189
"MK10",2774.12760987005,1861.58563293911,109.505037231713,66.9440794276537,0.23361074609432,66.9440794276537,0.773851428844677,0.99999138000631,0.797188961437886
"MK11",902.190144350423,62.2200099552016,93.3300149328024,87.332005973121,11.7098058735689,87.332005973121,0.518180176914752,0.991490692026067,0.526692646514018
"MK12",716.153941960394,591.605430315108,31.1371279113215,99.2028895254702,0.112093660480757,99.2028895254702,0.390339068556924,0.999996828764863,0.390342297450881
"MK13",707.941820054061,579.225125498777,32.1791736388209,99.6395932552452,0.0643583472776419,99.6395932552452,0.335192253184952,0.999999434188564,0.335192852279415
"MK14",1867.52988047809,1462.8984063745,31.1254980079681,96.7753984063745,0.249003984063745,96.7753984063745,0.419335160932159,0.999987411157487,0.419380202080905
"MK15",2860.34075363761,2487.25282925009,62.1813207312523,93.5704514363885,1.15657256560129,93.5704514363885,0.455779427565342,0.99979630099638,0.45598348213169
"MK16",1679.10447761194,1399.25373134328,93.2835820895522,97.1268656716418,0.572139303482587,97.1268656716418,0.41395234485018,0.999963117574379,0.413989284934622
"MK17",2116.79741003611,498.069978832026,62.2587473540032,78.7822189017557,13.8214419125887,78.7822189017557,0.602514226328995,0.988133497582813,0.615293688902852
